Plant,Plant Description,Storage Location,Storage Location Description,Material Number,MS Code,Material Description,Sales Document,Sales Document Item,Linkage Number,Stock Quantity,Unit,Serial Number,Stock Amount
2Q00,YIL,9002,Receive MFG KD,F9311BG,,VENT PLUG,,0,,46,ST,,"1,610.69"
2Q00,YIL,9002,Receive MFG KD,F9311AG,,LONG VENT PLUG,,0,,48,ST,,983.61
2Q00,YIL,9002,Receive MFG KD,F9300TE,,BRACKET,,0,,"1,435",ST,,366.91
2Q00,YIL,9002,Receive MFG KD,F9299ZZ,,SILICONE RUBBER 100G,,0,,15,ST,,"1,328.27"
2Q00,YIL,9002,Receive MFG KD,F9275ZZ,,LABEL,,0,,120,ST,,7.41
2Q00,YIL,9002,Receive MFG KD,F9275EG,,NEEDLE,,0,,152,ST,,137.12
2Q00,YIL,9002,Receive MFG KD,F9275EF,,NUT,,0,,162,ST,,270.55
2Q00,YIL,9002,Receive MFG KD,F9275ED,,VENT PLUG,,0,,170,ST,,294.27
2Q00,YIL,9002,Receive MFG KD,F9273CZ,,BOLT,,0,,"11,456",ST,,17.79
2Q00,YIL,9002,Receive MFG KD,F9270HE,,VENT SCREW,,0,,58,ST,,64.48
2Q00,YIL,9002,Receive MFG KD,F9270BK,,COLLAR,,0,,"5,000",ST,,4.45
2Q00,YIL,9002,Receive MFG KD,F9270BJ,,SHAFT,,0,,"5,618",ST,,24.46
2Q00,YIL,9002,Receive MFG KD,F9203ZA,,PLUG,,0,,996,ST,,1.48
2Q00,YIL,9002,Receive MFG KD,F9202SJ,,SILICON GREASE(1KG),,0,,2,L,,"5,413.17"
2Q00,YIL,9002,Receive MFG KD,F9200CS,,PLUG,,0,,17,ST,,371.36
2Q00,YIL,9002,Receive MFG KD,D0117XL-A,,U-BOLT ASSY,,0,,650,ST,,56.33
2Q00,YIL,9002,Receive MFG KD,D0114RZ,,PLUG,,0,,"2,213",ST,,82.28
2Q00,YIL,9002,Receive MFG KD,D0114RB,,GASKET,,0,,"1,080",ST,,11.12
2Q00,YIL,9002,Receive MFG KD,D0114PB,,VENT SCREW,,0,,"1,500",ST,,49.66
2Q00,YIL,9002,Receive MFG KD,F9340ND,,LABEL,,0,,212,ST,,6.67
2Q00,YIL,9002,Receive MFG KD,F9342YB,,FEEDTHROUGH CAP,,0,,"5,000",ST,,82.28
2Q00,YIL,9002,Receive MFG KD,F9342NJ,,CABLE ASSY,,0,,"5,500",ST,,22.24
2Q00,YIL,9002,Receive MFG KD,F9342MK,,NUT,,0,,"6,000",ST,,3.71
2Q00,YIL,9002,Receive MFG KD,F9341JZ,,CLAMP ASSY,,0,,"5,402",ST,,19.27
2Q00,YIL,9002,Receive MFG KD,F9341JX,,SILICONE RUBBER?SE1811A/B LTV?,,0,,20,ST,,"6,327.85"
2Q00,YIL,9002,Receive MFG KD,F9341JW,,WASHER,,0,,"2,500",ST,,1.48
2Q00,YIL,9002,Receive MFG KD,F9341JS,,COVER,,0,,"3,816",ST,,2.22
2Q00,YIL,9002,Receive MFG KD,F9341JQ,,O-RING,,0,,"3,000",ST,,4.45
