PART NO.,PART NAME,QTY,SC,MODEL CODE,OUTPUT,SPAN,MATERIAL,P-CONNECT,BOLT-NUT,INSTALL,HOUSING,E-CONNECT,INDICATOR,BRACKET,OPTION:AND,OPTION:OR,OPTION:NOT,
F9900TE,FLANGE,1,,"EJA430E,EJA430J",,,"L,S",,,"-8,-9",,,,,,,,
F9900TT,FLANGE,1,,"EJA310E,EJA310J",,,"L,S",,,"-2,-3,-6,-7,-8,-9,-U",,,,,,,,
F9900TF,FLANGE,1,,"EJA430E,EJA430J",,,"L,S",,,"-2,-3,-6,-7",,,,,,,,
F9900TY,FLANGE,1,,"EJA430E,EJA430J",,,S,,,#NAME?,,,,,,,,
F9900UK,FLANGE,1,,"EJA430E,EJA430J",,,S,,,#NAME?,,,,,,,"N1,N2,N3,U1",
F9900TK,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"0,1,2",,-9,,,,"B,J,N",N1,,"GS,HD",
F9900TL,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"3,4,5",,-9,,,,"B,J,N",N1,,"GS,HD",
F9900TC,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"0,1,2",,-9,,,,N,,"N2,N3",HD,
F9900TD,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"3,4,5",,-9,,,,N,,"N2,N3",HD,
F9900TK,FLANGE,1,,EJA110E,,"H,M,V",S,0,,-8,,,,,GS,,HD,
F9900TK,FLANGE,1,,EJA110E,,"H,M,V",S,0,,-9,,,,,GS,,"HD,N1",
F9900TK,FLANGE,1,,EJA110E,,"H,M,V",S,0,,-9,,,,,"GS,N1",,HD,
F9900TL,FLANGE,1,,EJA110E,,"H,M,V",S,5,,-8,,,,,GS,,HD,
F9900TL,FLANGE,1,,EJA110E,,"H,M,V",S,5,,-9,,,,,GS,,"HD,N1",
F9900TL,FLANGE,1,,EJA110E,,"H,M,V",S,5,,-9,,,,,"GS,N1",,HD,
F9350EV,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",L,"0,1,2",,"-8,-9",,,,,,,"GS,N1,N2,N3",
F9350EW,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",L,"3,4,5",,"-8,-9",,,,,,,"GS,N1,N2,N3",
F9350ES,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",L,"0,1,2",,"-2,-3,-6,-7",,,,,,,,
F9350ET,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",L,"3,4,5",,"-2,-3,-6,-7",,,,,,,,
F9340VL,FLANGE,1,,EJA130E,,,S,"0,1,2",,"-8,-9",,,,,,,"GS,N1,N2,N3",
F9340UH,FLANGE,1,,EJA130E,,,S,"3,4,5",,"-8,-9",,,,,,,"GS,N1,N2,N3",
