PART NO.,PART NAME,QTY,SC,MODEL CODE,OUTPUT,SPAN,MATERIAL,P-CONNECT,HOUSING,E-CONNECT,INDICATOR,BRACKET,OPTION:AND,OPTION:OR,OPTION:NOT
F9340ND,LABEL,1,,,,,,,,,,,,"K1,K2,K5,K6",
C1016EZ,SOLID SUB-MATERIALS,1,,,,,,,,,,,,"K5,K6",
F9900RM,TAG PLATE,1,,,,,,,"1,3",,,,,N4,
F9900RM,TAG PLATE,1,,,,,,,2,,,,,N4,
F9900RF,NAME PLATE,1,,,,,,,,,,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,KF22,KS21,KS26,KU22,PF22,PS21,SF2,KN26,SS26,SU21",
F9900RG,TAPPING SCREW,2,,,,,,,"1,3",,,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,JS4,NF2,NF21,NS21,NS25,SF2,SS26,SU21",
F9900RG,TAPPING SCREW,2,,,,,,,"1,3",,,,,"GF11,GF21,GS11,GS16,GS21,GU11,GU21,KF22,KN26,KS21,KS26,KU22,PF22,PS21,UF1,US1",
F9900RR,TAPPING SCREW,2,,,,,,,2,,,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,NF2,NF21,NS21,NS25,SF2,SS26,SU21",
F9900RR,TAPPING SCREW,2,,,,,,,2,,,,,"GF11,GF21,GS11,GS16,GS21,GU11,GU21,KF22,KN26,KS21,KS26,KU22,PF22,PS21,UF1,US1",
F9900RP,BOLT,2,,,,,,,"1,2",,,,,"GF11,GF21,GU11,GU21,JF3,KF22,KU22,NF2,NF21,PF22,SF2,SU21,UF1",
F9913MB,BOLT,2,,,,,,,3,,,,,"GF11,GF21,GU11,GU21,JF3,KF22,KU22,NF2,NF21,PF22,SF2,SU21,UF1",
G9601AM,GLAND,1,,,,,,,,"0,5",,,G11,,
G9601AM,GLAND,2,,,,,,,,"0,5",,,G12,,
G9339AB,CARD,1,,,,,,,,,,,G11,,
G9339AB,CARD,2,,,,,,,,,,,G12,,
F9910LZ,LABEL,1,,,,,,,,"4,9,D",,,,"FF1,FU1",
F9341JD,Spring,1,,"EJA510E,EJA530E",,,,,"1,2,3",,,,,,
F9341JE,Spring,1,,"EJA510E,EJA530E",,,,,"1,2,3",,,,,,
F9341JQ,O-RING,1,,"EJA510E,EJA530E",,,,,"1,2,3",,,,,,
F9341JA,Glass,1,,"EJA510E,EJA530E",,,,,"1,2,3",,,,,,
