Sl. No.,PART NO.,Description,Lead Time,Category,Std. Price
244,F9913TS,Case 1 - Meter Cover ,57,B,277.83
246,F9913VS,Case 1 - Meter Cover with /X2,57,B,369.51
247,F9200CS,Drain plug,45,B,
248,F9340SA,Vent plug ,45,B,
249,F9350ER,Vent plug ,71,B,
250,F9350EW,Flange,57,B,
251,F9350KZ,Drain plug,57,B,
252,F9350RS,Vent screw,71,B,
253,F9900TA,Flange,43,B,
254,CPA110Y-NMSNN-NNNNN,Capsule Assy.,40,,
255,CPA530Y-NBS4N-0NNNN,Capsule Assy.,40,,
256,CPA530Y-NBS7N-0NNNN,Capsule Assy.,40,,
257,CPA530Y-NCS4N-0NNNN,Capsule Assy.,40,,
258,CPA110Y-NFS5J-9NNNN,Capsule Assy.,40,,
259,CPA110Y-NHSNN-NNNNN,Capsule Assy.,40,,
260,CPA430Y-NASNN-NNNNN,Capsule Assy.,40,,
261,CPA530Y-NDS4N-0NNNN,Capsule Assy.,40,,
262,CPA530Y-NAS4N-0NNNN,Capsule Assy.,40,,
263,CPA530Y-NCS7N-0NNNN,Capsule Assy.,40,,
264,CPA430Y-NBSNN-NNNNN,Capsule Assy.,40,,
265,CPA110Y-NMSNN-NNNNN/K3,Capsule Assy.,40,,
266,CPA530Y-NDS7N-0NNNN,Capsule Assy.,40,,
267,CPA110Y-NFS5G-9NNNN,Capsule Assy.,40,,
268,CPA530Y-NAS7N-0NNNN,Capsule Assy.,40,,
269,CPA110Y-NMSNN-NNNNN/A1,Capsule Assy.,40,,
270,CPA430Y-NHSNN-NNNNN,Capsule Assy.,40,,
271,CPA110Y-NVSNN-NNNNN,Capsule Assy.,40,,
272,CPA530Y-NBH4N-0NNNN,Capsule Assy.,40,,
273,CPA530Y-NBH7N-0NNNN,Capsule Assy.,,,
