Plant,Plant Description,Storage Location,Storage Location Description,Material Number,MS Code,Material Description,Sales Document,Sales Document Item,Linkage Number,Stock Quantity,Unit,Serial Number,Stock Amount
2Q00,YIL,2002,Line-side Transm,F9900AS,,BOLT,,0,,663,ST,,122.95
2Q00,YIL,2002,Line-side Transm,F9900AE,,BOLT,,0,,4,ST,,499.11
2Q00,YIL,2002,Line-side Transm,F9900AC,,BOLT,,0,,481,ST,,68.39
2Q00,YIL,2002,Line-side Transm,F9900AA,,BOLT (FOR COVER FLANGE),,0,,399,ST,,56.17
2Q00,YIL,2002,Line-side Transm,F9350RS,,PLUG,,0,,6,ST,,605.78
2Q00,YIL,2002,Line-side Transm,F9350KZ,,VENT SCREW,,0,,6,ST,,412.8
2Q00,YIL,2002,Line-side Transm,F9350EW,,FLANGE,,0,,6,ST,,"1,866.16"
2Q00,YIL,2002,Line-side Transm,F9350ER,,VENT PLUG,,0,,6,ST,,937.15
2Q00,YIL,2002,Line-side Transm,F9342YC,,FILTER,,0,,209,ST,,157.14
2Q00,YIL,2002,Line-side Transm,F9342YB,,FEEDTHROUGH CAP,,0,,332,ST,,90.38
2Q00,YIL,2002,Line-side Transm,F9342NJ,,CABLE ASSY,,0,,770,ST,,24.42
2Q00,YIL,2002,Line-side Transm,F9342MK,,NUT,,0,,"2,375",ST,,4.07
2Q00,YIL,2002,Line-side Transm,F9341JZ,,CLAMP ASSY,,0,,437,ST,,21.17
2Q00,YIL,2002,Line-side Transm,F9341JX,,SILICONE RUBBER?SE1811A/B LTV?,,0,,10,ST,,"6,950.88"
2Q00,YIL,2002,Line-side Transm,F9341JW,,WASHER,,0,,411,ST,,1.63
2Q00,YIL,2002,Line-side Transm,F9341JS,,COVER,,0,,759,ST,,2.44
2Q00,YIL,2002,Line-side Transm,F9341JQ,,O-RING,,0,,500,ST,,4.89
2Q00,YIL,2002,Line-side Transm,F9920VT,,LPT ASSY,,0,,1,ST,862,766.18
2Q00,YIL,2002,Line-side Transm,F9920VT,,LPT ASSY,,0,,1,ST,874,766.18
2Q00,YIL,2002,Line-side Transm,F9920VT,,LPT ASSY,,0,,1,ST,875,766.18
2Q00,YIL,2002,Line-side Transm,F9920VT,,LPT ASSY,,0,,1,ST,876,766.18
2Q00,YIL,2002,Line-side Transm,F9920VT,,LPT ASSY,,0,,1,ST,877,766.18
2Q00,YIL,2002,Line-side Transm,F9920VT,,LPT ASSY,,0,,1,ST,878,766.18
2Q00,YIL,2002,Line-side Transm,F9920VT,,LPT ASSY,,0,,1,ST,879,766.18
2Q00,YIL,2002,Line-side Transm,F9920VT,,LPT ASSY,,0,,1,ST,880,766.18
2Q00,YIL,2002,Line-side Transm,F9920VT,,LPT ASSY,,0,,1,ST,881,766.18
2Q00,YIL,2002,Line-side Transm,F9920VT,,LPT ASSY,,0,,1,ST,882,766.18
2Q00,YIL,2002,Line-side Transm,F9920VT,,LPT ASSY,,0,,1,ST,883,766.18
2Q00,YIL,2002,Line-side Transm,F9920VT,,LPT ASSY,,0,,1,ST,884,766.18
2Q00,YIL,2002,Line-side Transm,F9920VT,,LPT ASSY,,0,,1,ST,885,766.18
2Q00,YIL,2002,Line-side Transm,F9920VT,,LPT ASSY,,0,,1,ST,887,766.18
2Q00,YIL,2002,Line-side Transm,F9920VT,,LPT ASSY,,0,,1,ST,888,766.18
2Q00,YIL,2002,Line-side Transm,F9920VT,,LPT ASSY,,0,,1,ST,890,766.18
2Q00,YIL,2002,Line-side Transm,F9920VT,,LPT ASSY,,0,,1,ST,891,766.18
2Q00,YIL,2002,Line-side Transm,F9920VT,,LPT ASSY,,0,,1,ST,892,766.18
